loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt)
2022-06-30T09:23:10.370+02:00,3384.7724415,0.1652069091796875,-0.194915771484375,-0.93377685546875,3384.7624895,1.619148182507439,0.2070747826256069,0.2081076142157255,-0.1484863758087158,-0.03632362559437752,0.01421991549432278,-0.07492624223232269,0.02039080858230591,0.01672512292861938,XArbitraryZVertical,0.003157921956840883,-0.1457033518116801,-0.7236263641437014,-0.6746299619507209,0.2011620104312897,-0.2066087126731873,-0.9575211405754089,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.372+02:00,3384.7823925,0.1707305908203125,-0.2044677734375,-0.945556640625,3384.7724415,1.619620871294173,0.2068314356018918,0.2064708370155076,-0.240789458155632,-0.02298747189342976,0.008527841418981552,-0.05065351724624634,0.002767354249954224,0.02862411737442017,XArbitraryZVertical,0.003668988780941863,-0.1450402569138873,-0.7237892073343918,-0.674595526822627,0.2009981721639633,-0.2050069719552994,-0.9578997492790222,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.373+02:00,3384.7923445,0.1755218505859375,-0.199462890625,-0.9503631591796875,3384.7823925,1.62019866464651,0.2068225995941978,0.204482176523281,-0.2201084196567535,0.0002976101823151112,0.01917089708149433,-0.03586632013320923,0.008144736289978027,0.02452164888381958,XArbitraryZVertical,0.0043935881092827,-0.1443308558295427,-0.7239871606692668,-0.674530816091238,0.20107302069664,-0.2030601501464844,-0.9582986235618591,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.383+02:00,3384.8022955,0.16888427734375,-0.2037811279296875,-0.94952392578125,3384.7923445,1.620830774062164,0.2067678701532433,0.2028694409998963,-0.1853941828012466,-0.001989185810089111,0.02680807746946812,-0.03035715222358704,-0.002986669540405273,0.01307213306427002,XArbitraryZVertical,0.004975417145459298,-0.1437386827000519,-0.7242024634187216,-0.6744222380921305,0.201087549328804,-0.2014807462692261,-0.9586288928985596,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.393+02:00,3384.8122475,0.1626129150390625,-0.2056884765625,-0.94415283203125,3384.8022955,1.621521610193069,0.2067147315992394,0.2015039169244724,-0.1656095683574677,0.01491203438490629,0.03881094604730606,-0.02557122707366943,0.0006805062294006348,0.008544683456420898,XArbitraryZVertical,0.00547646327309433,-0.1432342245714448,-0.7244369032986496,-0.6742738461238486,0.2010928839445114,-0.200143039226532,-0.9589079022407532,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.403+02:00,3384.8221985,0.1688385009765625,-0.220428466796875,-0.95086669921875,3384.8122475,1.622226070206829,0.2069215267868162,0.2001701805554863,-0.1457776725292206,0.02715795114636421,0.04119014739990234,-0.03246176242828369,-0.004944652318954468,0.009602665901184082,XArbitraryZVertical,0.006061360889571318,-0.1428282268747507,-0.7246748028826591,-0.6740992880926885,0.2013458460569382,-0.1988361179828644,-0.9591267108917236,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.414+02:00,3384.8321505,0.099822998046875,-0.2692718505859375,-0.950653076171875,3384.8221985,1.622994567239322,0.207004627108911,0.1988630533778061,-0.144012525677681,0.03083311021327972,0.05404975265264511,-0.0388660728931427,-0.008133202791213989,0.01521056890487671,XArbitraryZVertical,0.006596528733173987,-0.1423893522029146,-0.7249342214191529,-0.6739081621266556,0.2014787942171097,-0.1975549161434174,-0.9593635201454163,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.423+02:00,3384.8421015,0.0680694580078125,-0.200286865234375,-0.9161834716796875,3384.8321505,1.626222608750959,0.2067975687644067,0.1981143452547674,0.007166671101003885,0.1940763890743256,0.5770590305328369,-0.0324721485376358,-0.02360720932483673,0.008682906627655029,XArbitraryZVertical,0.007008596534317598,-0.142042345748136,-0.7260220576763252,-0.6728052281748526,0.2013104557991028,-0.1968209147453308,-0.9595497250556946,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.433+02:00,3384.8520525,0.22509765625,-0.2484893798828125,-0.96380615234375,3384.8421015,1.631476535562468,0.2056789898273292,0.1977174147704443,-0.245793953537941,0.1454681009054184,0.2302762866020203,-0.1004301309585571,-0.07283975183963776,0.009197473526000977,XArbitraryZVertical,0.007110778530938784,-0.1415065252814597,-0.7277913051705817,-0.6710030215153026,0.2002529352903366,-0.1964317262172699,-0.9598506689071655,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
2022-06-30T09:23:10.443+02:00,3384.8620045,0.29681396484375,-0.2329559326171875,-0.96124267578125,3384.8520525,1.632512973045789,0.2058216670322847,0.1960617444768848,-0.1440763771533966,0.05721546337008476,-0.04595796763896942,-0.1323868036270142,-0.005478456616401672,0.04395556449890137,XArbitraryZVertical,0.00780342534648486,-0.1409593201400469,-0.7281394233393101,-0.6707329283330942,0.2004560828208923,-0.1948080509901047,-0.9601391553878784,0,0,0,-1,-1,3378.7606145,running,2,2022-06-30T09:23:04.341+02:00,2022-06-30T08:20:05.567+02:00,1052,1.411193,0,0,819.8695,0,0,2022-06-30T09:23:09.437+02:00
